fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0,0.5,0.1787381251870444,26,8,30,0.0282406909753001,-1.4661464392916304,AB,1408,5468.489026683152,7615.150699099523,6810.287654149517,585,13,CB,79,1,BC,1,1,1,0,200.0,0,INTERNET,2.818489337642687,linux,1,1,0,0
0,0.9,0.4750148740479939,-1,67,50,0.008162056665278,-0.9476592716157056,AB,2998,7452.139159999395,6026.624267390926,6305.932829661439,11,9,CA,184,0,BA,1,1,1,0,1500.0,0,INTERNET,2.892487656957805,other,1,1,0,0
0,0.8,0.333012708390063,-1,14,40,0.0003075942229916,53.106292250257646,AA,2355,5585.827390065845,6381.506857907663,6392.364926146369,2,6,CA,136,0,BA,0,1,15,0,1500.0,0,INTERNET,32.90878723758514,other,1,1,0,0
0,0.2,0.0305617917978289,27,7,40,20.129566637418773,-1.5584727730992047,AB,1619,7332.765245066129,6694.03060769026,6679.416272475689,16,19,CB,81,0,BC,0,0,10,0,200.0,0,INTERNET,7.523308597538557,linux,0,1,0,0
0,0.7000000000000001,0.7320860163040129,-1,54,30,0.0108398431897982,43.99823402687878,AA,2060,7305.294098657473,7507.542758775161,6317.261058038047,1,13,CB,64,1,BC,1,1,28,0,200.0,0,INTERNET,1.6275880598490269,linux,1,1,0,0
0,0.4,0.043498192055415,33,9,40,0.0136911561195904,-1.1216799752510205,AB,4460,11460.679661104232,7727.385071383286,6592.190421407181,0,15,CA,62,1,BC,1,1,30,0,200.0,0,INTERNET,25.369777622242,linux,1,1,0,0
1,0.9,0.9982481961839298,31,45,30,0.0101648114235508,33.06753754187659,AA,525,6883.814597619599,3655.042384731246,4327.21579521157,16,12,CA,273,1,BA,0,1,1,1,2000.0,0,INTERNET,44.53621116782134,windows,0,1,0,0
1,0.1,0.8102788322152558,-1,24,30,0.0145964104050854,-1.192711508040924,AD,3622,7472.386849474266,5610.198893465673,6637.3645296985,1616,18,CA,81,1,BC,0,1,5,0,200.0,0,INTERNET,3.3958403555216385,other,0,1,0,0
1,0.9,0.1282841841916829,-1,138,30,1.5028163957164382,32.820851502418535,AA,3288,8038.718628991655,7410.378118683976,5937.428991253377,760,13,CA,243,0,BC,0,1,31,1,1500.0,0,INTERNET,5.199206060537907,linux,0,1,0,0
1,0.7000000000000001,0.0899997722506818,-1,58,50,0.0041340669495404,-1.2440466013409357,AD,4011,8036.901841083214,5794.624928730966,6333.335163608736,2,6,CA,177,1,BA,0,1,27,0,1500.0,0,INTERNET,3.500856362308644,windows,0,1,0,0
1,0.6000000000000001,0.2542504208745221,-1,187,60,0.0071148545317434,-1.1120328001874156,AB,1040,7623.973545761792,5177.643471837956,5988.777623688791,13,1,CC,300,1,BA,1,1,4,0,1500.0,0,INTERNET,11.148814816980977,windows,1,2,0,0
0,0.8,0.8344745881003516,-1,134,20,0.0172445227162768,-1.3563931999585843,AD,3113,7549.992085884615,6273.922109554705,6312.998834706559,14,20,CA,201,1,BD,1,1,15,0,1500.0,0,INTERNET,4.103969778315406,other,1,1,0,0
0,0.6000000000000001,0.4829057489273572,-1,38,40,0.03792492562703,-0.9946136114088656,AC,2774,5692.610361988332,5099.913245706173,6706.703152553651,1,10,CA,137,1,BC,0,1,-1,0,200.0,0,INTERNET,4.486325958572444,other,1,1,0,0
0,0.9,0.8423068370138775,-1,29,40,5.742625847255586,47.152497798787614,AA,2339,7601.511579253147,5124.046929628144,5940.734211620649,1,6,CA,91,0,BC,1,1,26,0,200.0,0,INTERNET,3.743047928033851,other,0,1,0,0
0,0.8,0.9967070206409232,9,14,40,0.0123163495250501,-1.4903855214855013,AB,1095,4471.472148765561,5471.988958014066,5992.555113248597,15,11,CA,89,1,BC,0,1,30,0,200.0,0,INTERNET,22.73055923496224,windows,0,1,0,0
1,0.9,0.0023596089935309,-1,147,50,0.0113948636679787,-1.2684377739679142,AC,1996,4503.2696517889,5377.0774591467625,6294.631802223703,1,7,CA,213,1,BA,0,1,24,0,1500.0,0,INTERNET,4.623859026451203,other,0,1,0,0
0,0.6000000000000001,0.0840883880261682,-1,104,30,0.0114748865526803,-1.7930036170376245,AB,1972,7869.720176702284,5467.166903671981,6268.889549058023,27,15,CA,113,1,BA,0,1,30,1,200.0,0,INTERNET,4.502006765720234,macintosh,1,1,0,0
0,0.3,0.986506310633034,-1,25,40,0.0067353870811739,102.45371092469456,AA,1059,13096.035018400871,7850.955007125409,6742.080561007602,5,5,CB,163,1,BC,0,1,9,0,1500.0,0,INTERNET,16.224843433978073,linux,1,1,0,0
1,0.1,0.1200506426476715,-1,62,30,0.0098138118629779,48.951722906295394,AA,2294,8233.062260336135,6085.000085191389,6740.014371059146,2,12,CB,55,1,BD,0,1,21,0,200.0,0,INTERNET,31.086788453777,other,1,1,0,0
0,0.8,0.6174260062650061,-1,89,20,0.010095097878573,-0.8495509687507287,AD,1658,9223.283430930423,5745.251480643791,5941.6648588359885,3,18,CA,154,1,BC,1,1,2,0,1500.0,0,INTERNET,3.36385371062431,other,1,1,0,0
0,0.1,0.2569749667071656,-1,44,20,0.0074838972557003,-1.2934275365282022,AC,1668,9741.00028961059,5841.737010091622,5954.627972286914,22,14,CA,170,1,BC,0,0,-1,1,500.0,0,INTERNET,2.3671176592954115,linux,0,1,0,0
