annual_income,name_email_similarity,residence_months,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,channel_type,zip_count_4w,app_count_1h,app_count_24h,velocity_4w,bank_branch_count_8w,dob_emails_4w,employment_category,risk_score,free_email,residence_type,home_phone_verified,mobile_phone_verified,banking_history_months,has_other_cards,credit_limit_requested,overseas_ip,application_source,session_minutes,applicant_device,keep_alive_session,device_email_count_8w,device_fraud_history,application_month,fraud_label
0.13,0.776,7,8,54,1.2002,41.13,AB,1521,3779.2,6722.7,5954.9,6,18,CB,93,0,BB,0,0,15,1,1500,1,TELEAPP,18.61,windows,1,1,0,7,0
0.13,0.921,1,25,26,0.2753,-78.15,AC,5758,4204.4,5009.0,4274.6,3,1,CC,54,0,BB,1,0,8,0,200,0,INTERNET,11.05,windows,0,4,0,5,0
0.18,0.904,26,14,58,0.0206,-30.74,AD,1984,5332.9,4620.4,4909.3,1,4,CE,200,0,BC,0,1,7,1,1500,0,INTERNET,3.5,windows,0,4,0,3,0
0.45,0.644,57,27,32,0.9857,0.26,AA,4913,4765.4,4183.6,4768.7,8,15,CC,167,1,BD,0,1,17,1,1500,0,TELEAPP,12.46,windows,1,1,0,2,0
0.14,0.363,-1,2,45,0.0424,0.2,AD,9390,14285.6,5101.5,5632.8,8,5,CD,247,1,BC,0,0,-1,0,2000,0,TELEAPP,0.03,macintosh,1,9,0,3,1
0.12,0.87,57,25,42,0.3898,-123.48,AB,6230,4374.4,4082.0,5010.4,1,2,CA,97,0,BA,0,1,9,1,1000,0,INTERNET,19.4,linux,0,4,0,3,0
0.29,0.664,18,2,54,0.5277,-35.72,AA,4567,4025.3,5129.7,5926.9,8,7,CC,194,0,BD,1,1,23,1,2000,0,TELEAPP,9.97,linux,1,1,0,3,0
0.17,0.829,49,17,47,0.3174,25.18,AB,3944,5327.2,4905.3,4897.9,5,3,CD,165,1,BA,1,1,3,1,200,0,TELEAPP,11.91,other,1,2,0,7,0
0.47,0.729,40,33,28,0.6061,-37.54,AD,7706,5905.1,4016.9,5243.6,7,4,CE,69,0,BD,1,1,19,1,1500,0,TELEAPP,8.63,linux,1,2,0,6,0
0.29,0.616,15,37,52,0.8797,7.05,AD,3551,4952.4,4915.0,4686.9,3,8,CD,193,0,BD,0,1,24,1,1500,0,TELEAPP,0.26,windows,1,3,0,0,0
0.53,0.673,45,1,35,0.3636,-17.16,AD,1970,6655.5,4129.7,5069.3,3,5,CA,78,1,BA,1,1,20,1,500,0,INTERNET,6.41,windows,1,1,0,6,0
0.18,0.874,16,24,35,0.5142,37.8,AA,1395,6172.4,4925.1,5599.3,1,1,CE,228,0,BD,1,0,10,1,2000,0,INTERNET,4.74,windows,1,3,0,6,0
0.01,0.338,-1,34,26,0.0013,47.6,AA,3728,14905.1,3996.2,5701.4,5,9,CC,248,1,BB,0,0,5,0,1500,1,INTERNET,2.69,macintosh,0,3,0,0,1
0.46,0.756,12,19,31,0.2192,5.18,AD,5446,5267.6,3817.4,4988.6,5,3,CD,74,0,BA,0,0,25,1,2000,0,INTERNET,55.04,linux,1,3,0,4,0
0.17,0.847,38,7,32,0.1259,44.31,AB,2040,4766.3,3234.7,5063.2,8,16,CE,114,0,BA,0,0,4,1,1500,0,INTERNET,4.75,macintosh,1,2,0,2,0
0.37,0.623,28,8,58,0.6853,24.63,AC,2031,5088.9,5052.1,4679.0,6,6,CB,93,0,BA,1,0,22,0,1500,0,INTERNET,11.89,windows,0,1,0,0,0
0.11,0.96,57,11,31,1.5935,-7.16,AD,1167,4399.4,3710.2,4607.1,4,8,CB,109,0,BD,1,1,27,0,200,0,INTERNET,16.81,other,1,1,0,5,0
0.73,0.951,59,5,52,0.7516,17.03,AC,5448,4986.2,4007.4,6148.9,1,13,CA,147,1,BC,1,1,6,0,2000,0,TELEAPP,24.44,macintosh,0,1,0,1,0
0.16,0.982,13,4,20,0.5569,-76.71,AD,2074,6277.7,4693.9,6637.9,6,3,CC,99,0,BB,0,1,27,0,2000,0,TELEAPP,16.35,macintosh,1,4,0,1,0
0.66,0.962,52,38,52,0.7654,81.43,AC,2628,3619.9,4488.2,5637.1,4,5,CB,55,0,BA,1,1,11,1,200,0,TELEAPP,1.65,linux,0,4,0,7,0
0.09,0.989,58,19,40,0.0925,-40.77,AA,7481,4441.0,4414.4,4171.8,2,17,CB,94,0,BB,0,1,15,0,1000,0,INTERNET,0.03,other,0,1,0,2,0
0.23,0.847,23,14,43,0.6374,20.01,AC,3297,4215.5,4213.4,5721.5,3,15,CA,168,0,BB,1,0,22,1,1500,0,INTERNET,9.0,other,1,1,0,4,0
0.69,0.835,44,19,56,0.2256,46.31,AD,2862,6909.4,4522.2,5101.9,1,6,CD,143,1,BB,0,1,9,1,1000,1,INTERNET,40.39,macintosh,0,4,0,3,0
0.22,0.887,11,8,45,0.1642,-33.13,AB,7479,5570.6,4723.8,2807.2,1,12,CA,139,0,BB,1,1,4,1,1000,0,TELEAPP,6.06,windows,1,4,0,1,0
0.49,0.904,11,15,43,0.4658,-10.66,AA,6961,5159.5,4052.2,6204.0,5,11,CA,211,1,BC,0,0,28,0,1000,0,TELEAPP,16.07,macintosh,1,1,0,2,0
0.27,0.157,39,14,51,0.0062,18.04,AB,8984,12036.8,5841.1,5261.5,7,2,CE,253,1,BC,0,1,-1,0,1500,0,TELEAPP,2.71,macintosh,1,3,0,4,1
0.04,0.013,-1,10,24,0.0209,51.88,AC,7910,10980.0,5529.6,4644.3,5,15,CD,225,1,BC,0,0,-1,0,2000,0,TELEAPP,1.75,other,0,4,0,5,1
0.36,0.702,40,12,55,1.2551,60.25,AC,3949,5672.4,3998.1,4603.7,4,1,CC,217,0,BC,1,1,20,0,500,0,INTERNET,5.35,linux,0,2,0,6,0
0.56,0.781,51,24,44,0.3449,40.22,AA,4880,4842.8,5979.2,5901.3,2,17,CA,133,0,BD,1,1,29,1,200,0,TELEAPP,13.86,macintosh,0,2,0,7,0
0.65,0.835,1,14,21,0.3823,-28.19,AC,5426,1431.8,4261.1,4427.4,7,7,CC,81,1,BC,0,1,23,0,500,0,TELEAPP,0.27,macintosh,1,3,0,2,0
0.61,0.955,28,8,53,0.8182,0.65,AB,3038,5061.6,4279.4,4154.0,7,16,CB,56,0,BA,1,1,29,0,2000,0,TELEAPP,24.15,windows,1,2,0,6,0
0.69,0.764,30,9,53,0.9869,-17.75,AB,3179,5257.5,4484.1,5266.9,1,18,CC,63,0,BB,0,1,22,0,1500,0,INTERNET,1.88,macintosh,0,2,0,1,0
0.45,0.762,38,12,42,0.0563,-21.21,AC,1145,4353.8,3774.7,5675.6,9,7,CB,222,0,BA,1,1,2,1,1000,0,INTERNET,9.24,linux,1,3,0,7,0
0.4,0.98,55,24,41,0.6595,30.38,AC,4420,3480.8,6548.1,4923.2,2,9,CB,243,1,BA,1,1,29,0,500,0,INTERNET,17.1,windows,1,3,0,5,0
0.48,0.876,49,12,35,1.0316,40.83,AC,6104,5618.7,5167.1,5367.3,9,18,CA,61,1,BB,1,1,10,0,200,0,INTERNET,6.41,macintosh,1,1,0,6,0
0.04,0.338,-1,39,36,0.0105,34.08,AD,5667,9915.0,5522.3,4791.2,8,17,CD,242,1,BA,0,1,-1,0,1000,1,INTERNET,0.41,linux,0,9,0,5,1
0.34,0.851,56,10,49,0.2704,70.47,AC,4935,4127.4,5134.9,4759.7,2,4,CB,239,0,BD,1,0,9,1,200,0,TELEAPP,31.33,windows,0,3,0,3,0
0.07,0.996,59,8,39,0.9095,-33.19,AB,1384,4871.8,4099.1,5374.9,6,15,CA,58,0,BB,1,1,3,0,200,0,TELEAPP,6.22,windows,1,3,0,0,0
0.44,0.706,28,29,28,0.0227,8.23,AB,1855,4931.0,4349.9,5100.1,2,15,CC,182,1,BB,1,1,13,0,2000,0,TELEAPP,21.45,linux,0,2,0,2,0
0.05,0.226,-1,6,43,0.016,46.65,AC,9959,12843.4,5156.4,5405.8,9,10,CD,156,0,BA,0,1,-1,0,500,0,INTERNET,0.6,linux,0,8,0,2,1
0.26,0.816,35,6,38,0.7157,26.9,AC,1935,5048.0,4986.3,5149.3,6,4,CD,145,0,BD,1,0,22,0,200,0,TELEAPP,0.47,linux,0,3,0,4,0
0.05,0.026,47,15,51,0.0147,86.27,AB,9102,8598.0,4174.8,4016.1,7,11,CD,181,1,BB,0,0,12,0,1500,0,INTERNET,2.04,linux,1,5,0,0,1
0.17,0.947,24,12,37,0.9989,43.0,AD,4110,5342.7,4865.4,5455.8,4,7,CC,142,1,BA,0,0,20,0,200,1,INTERNET,1.34,other,1,1,0,5,0
0.03,0.261,-1,2,43,0.0057,98.14,AB,4389,11229.9,5472.1,5593.7,6,9,CC,237,1,BD,1,0,-1,0,1500,1,TELEAPP,0.02,other,0,3,0,0,1
0.13,0.68,58,15,53,0.021,17.59,AA,6582,5132.8,4668.5,5704.2,9,7,CA,163,0,BD,0,0,15,0,1000,0,TELEAPP,9.1,linux,1,3,0,6,0
